"id","timestamp","value","unit"
A4-uKxx,2021-12-19T00:00:00Z,213.349,Wh
Z-OU1fE,2021-12-19T00:00:00Z,936.211,Wh
dFTwC3y,2021-12-19T00:00:00Z,,Wh
lxmjzmM,2021-12-19T00:00:00Z,856.101,Wh
aK5J9Rw,2021-12-19T00:00:00Z,816.278,Wh
AC3XWZg,2021-12-19T00:00:00Z,871.014,Wh
ykOrvoS,2021-12-19T00:00:00Z,695.405,Wh
8_pNZQq,2021-12-19T00:00:00Z,680.933,Wh
aO4wNMu,2021-12-19T00:00:00Z,448.176,Wh
ZSL3rJV,2021-12-19T00:00:00Z,898.281,Wh
OhlX2JW,2021-12-19T00:00:00Z,739.703,Wh
Y20_1EI,2021-12-19T00:00:00Z,777.188,Wh
nKSx9qt,2021-12-19T00:00:00Z,,Wh
srsgcun,2021-12-19T00:00:00Z,449.617,Wh
esEmUGA,2021-12-19T00:00:00Z,894.382,Wh
_6cfgJy,2021-12-19T00:00:00Z,632.679,Wh
4Hvp3QQ,2021-12-18T00:00:00Z,20.4428,Wh
okP7eDH,2021-12-18T00:00:00Z,327.026,Wh
4Fhchhj,2021-12-18T00:00:00Z,234.219,Wh
4eYN-Gy,2021-12-18T00:00:00Z,0,Wh
PLGrUny,2021-12-18T00:00:00Z,526.848,Wh
5FK2Fz4,2021-12-18T00:00:00Z,363.463,Wh
HqVp5jP,2021-12-18T00:00:00Z,,Wh
IHGFESJ,2021-12-18T00:00:00Z,327.547,Wh
A7DnKqm,2021-12-18T00:00:00Z,391.072,Wh
WxxNRqn,2021-12-18T00:00:00Z,103.9,Wh
LF_pxtp,2021-12-18T00:00:00Z,323.017,Wh
2lNtgkj,2021-12-18T00:00:00Z,135.495,Wh
JEfXIXm,2021-12-18T00:00:00Z,456.216,Wh
Dg4ZQh_,2021-12-18T00:00:00Z,69.8137,Wh
RgTzNiV,2021-12-18T00:00:00Z,108.222,Wh
u8KJojx,2021-12-18T00:00:00Z,86.3629,Wh
YHbORuK,2021-12-18T00:00:00Z,125.497,Wh
qqfa-2e,2021-12-18T00:00:00Z,85.3211,Wh
oiLGgux,2021-12-18T00:00:00Z,393.573,Wh
YFW_Eu-,2021-12-18T00:00:00Z,532.906,Wh
LO8iIWF,2021-12-18T00:00:00Z,52.4811,Wh
AsyKir0,2021-12-18T00:00:00Z,74.0749,Wh
g8-Jxec,2021-12-18T00:00:00Z,99.2485,Wh
eePKmNP,2021-12-18T00:00:00Z,444.673,Wh
PHiFsyw,2021-12-18T00:00:00Z,1016.37,Wh
fNb-1fY,2021-12-18T00:00:00Z,0.671818,Wh
nFMKP_3,2021-12-18T00:00:00Z,,Wh
KJLmrVh,2021-12-18T00:00:00Z,545.681,Wh
k2EPh5p,2021-12-18T00:00:00Z,241.224,Wh
ZnOQzHo,2021-12-18T00:00:00Z,,Wh
Wv9WKEv,2021-12-18T00:00:00Z,397.867,Wh
bNfGnYD,2021-12-18T00:00:00Z,535.369,Wh
SSf_nTD,2021-12-18T00:00:00Z,485.455,Wh
6QhpEr0,2021-12-18T00:00:00Z,257.379,Wh
KnzKrMi,2021-12-18T00:00:00Z,555.88,Wh
PH1UIbw,2021-12-18T00:00:00Z,240.933,Wh
qunvcNC,2021-12-18T00:00:00Z,651.327,Wh
bofqYnX,2021-12-18T00:00:00Z,220.24,Wh
f7KQLQY,2021-12-18T00:00:00Z,524.278,Wh
R52_2c8,2021-12-18T00:00:00Z,367.67,Wh
GGrC59K,2021-12-18T00:00:00Z,,Wh
_rD2qpe,2021-12-18T00:00:00Z,207.173,Wh
NvT1v1D,2021-12-18T00:00:00Z,339.789,Wh
QHk6x-6,2021-12-18T00:00:00Z,200.26,Wh
BvUHIhi,2021-12-18T00:00:00Z,,Wh
mWnqmbv,2021-12-18T00:00:00Z,580.785,Wh
De-jIf9,2021-12-18T00:00:00Z,59.3323,Wh
cWcI21m,2021-12-18T00:00:00Z,193.889,Wh
DAWO_a9,2021-12-18T00:00:00Z,510.312,Wh
wgCgMDT,2021-12-18T00:00:00Z,605.673,Wh
-hoPe--,2021-12-18T00:00:00Z,1505.22,Wh
cWE__VN,2021-12-18T00:00:00Z,315.705,Wh
OBo27XZ,2021-12-18T00:00:00Z,717.049,Wh
7BDu6jW,2021-12-18T00:00:00Z,90.8525,Wh
ILo-d_s,2021-12-18T00:00:00Z,1153.19,Wh
w9P0nK1,2021-12-18T00:00:00Z,1425.43,Wh
SVPFG60,2021-12-18T00:00:00Z,666.755,Wh
EHeHEZa,2021-12-18T00:00:00Z,468.787,Wh
pLrr3Ys,2021-12-18T00:00:00Z,518.068,Wh
ve-GoD5,2021-12-18T00:00:00Z,3072.05,Wh
BJRxXOR,2021-12-18T00:00:00Z,298.576,Wh
AZw54Os,2021-12-18T00:00:00Z,691.896,Wh
SUVC2A3,2021-12-18T00:00:00Z,1498.42,Wh
NncKXn1,2021-12-18T00:00:00Z,127.784,Wh
dz-lHTC,2021-12-18T00:00:00Z,177.378,Wh
gdZOkeX,2021-12-18T00:00:00Z,642.27,Wh
I5ZOt74,2021-12-18T00:00:00Z,372.72,Wh
gmWEkyG,2021-12-18T00:00:00Z,0,Wh
sfGCcKb,2021-12-18T00:00:00Z,1068.04,Wh
IPfUHP7,2021-12-18T00:00:00Z,549.405,Wh
D3VOBtX,2021-12-18T00:00:00Z,1747.8,Wh
FZ6sIMB,2021-12-18T00:00:00Z,732.943,Wh
dg3FcBU,2021-12-18T00:00:00Z,344.503,Wh
EM0Y1B2,2021-12-18T00:00:00Z,1054.95,Wh
LzbDLxx,2021-12-18T00:00:00Z,899.518,Wh
hmdT1ia,2021-12-18T00:00:00Z,748.838,Wh
xZlSyX5,2021-12-18T00:00:00Z,1.81198,Wh
0hDIfk0,2021-12-18T00:00:00Z,876.157,Wh
wZ_TqNf,2021-12-18T00:00:00Z,1723.38,Wh
d1CgjFy,2021-12-18T00:00:00Z,1107.11,Wh
85qtoAe,2021-12-18T00:00:00Z,939.296,Wh
yWwA3cu,2021-12-18T00:00:00Z,394.193,Wh
l9FcdQ6,2021-12-18T00:00:00Z,288.149,Wh
M7U3-61,2021-12-18T00:00:00Z,1098.89,Wh
FQ2_rrl,2021-12-18T00:00:00Z,958.548,Wh
Sgl1Amw,2021-12-18T00:00:00Z,581.525,Wh
RaGmf9b,2021-12-18T00:00:00Z,224.959,Wh
EC_P_86,2021-12-18T00:00:00Z,204.508,Wh
H3cHB6R,2021-12-18T00:00:00Z,1555.81,Wh
MT8-MzP,2021-12-18T00:00:00Z,238.365,Wh
vaUh7sD,2021-12-18T00:00:00Z,1288.83,Wh
M1vvYjg,2021-12-18T00:00:00Z,1211.06,Wh
yVBYfqP,2021-12-18T00:00:00Z,1630.23,Wh
QjoXIVJ,2021-12-18T00:00:00Z,1455.7,Wh
EKc2b21,2021-12-18T00:00:00Z,1163.15,Wh
Wb4XUzw,2021-12-18T00:00:00Z,250.847,Wh
PRekVvR,2021-12-18T00:00:00Z,379.828,Wh
dow4tm3,2021-12-18T00:00:00Z,358.072,Wh
YJTE53Z,2021-12-18T00:00:00Z,567.01,Wh
xsj-jPj,2021-12-18T00:00:00Z,1202.27,Wh
z_Tw8M1,2021-12-18T00:00:00Z,965.883,Wh
0wmxLE8,2021-12-18T00:00:00Z,362.285,Wh
lKHbsZp,2021-12-18T00:00:00Z,1199.88,Wh
eYHLrpD,2021-12-18T00:00:00Z,925.727,Wh
S6NEAiS,2021-12-18T00:00:00Z,1081.2,Wh
aEiGa8Z,2021-12-18T00:00:00Z,,Wh
3IzD45m,2021-12-18T00:00:00Z,69.4562,Wh
k2aMkIq,2021-12-18T00:00:00Z,429.768,Wh
Ri-HmHo,2021-12-18T00:00:00Z,310.668,Wh
nKTVhGg,2021-12-18T00:00:00Z,886.981,Wh
orgI08k,2021-12-18T00:00:00Z,223.82,Wh
S11k9iy,2021-12-18T00:00:00Z,843.267,Wh
YlzYvVU,2021-12-18T00:00:00Z,138.303,Wh
p3kdbXu,2021-12-18T00:00:00Z,414.383,Wh
R1GE7r7,2021-12-18T00:00:00Z,148.036,Wh
pr-n7Gl,2021-12-18T00:00:00Z,24.3799,Wh
Pe9cjye,2021-12-18T00:00:00Z,67.7397,Wh
QaXUOAS,2021-12-18T00:00:00Z,183.622,Wh
BqHFXvK,2021-12-18T00:00:00Z,248.574,Wh
TBOy4bI,2021-12-18T00:00:00Z,1067.46,Wh
BZ3kKbT,2021-12-18T00:00:00Z,95.0574,Wh
A4-uKxx,2021-12-18T00:00:00Z,144.489,Wh
Z-OU1fE,2021-12-18T00:00:00Z,1441.88,Wh
dFTwC3y,2021-12-18T00:00:00Z,,Wh
lxmjzmM,2021-12-18T00:00:00Z,513.887,Wh
aK5J9Rw,2021-12-18T00:00:00Z,729.562,Wh
AC3XWZg,2021-12-18T00:00:00Z,997.684,Wh
